r_f1,r_f2,r_f3,s_f1,s_f2,s_f3
-1.1617303665365106,-1.7635742148720723,-2.5443277905404424,-1.1660813803132282,-1.1924336115857161,-1.947803178993244
-1.157300145270171,-1.235335017615054,-2.0384563932629094,-1.1660813828336367,-1.1658780494590661,-1.9659124481386572
-1.152194693280134,-0.9043760845179853,-1.920167149411225,-1.1660814086051374,-1.0588656667092484,-2.0815229333985745
-1.1562826779120459,-1.052614609406916,-2.3331465999166623,-1.1660814139339395,-0.9764432967048512,-2.253589906482601
-1.1694337995123951,-1.6757965821470382,-2.6354988669236556,-1.1660814039938234,-1.0944878986357862,-2.028354264596722
-1.1651853700107915,-1.4359334362070713,-2.813946082610987,-1.166081414889828,-0.9565471841459752,-2.3132538014119444
-1.1637926031089416,-1.305481181494776,-1.6286881699857596,-1.1660814424583315,-1.4740655362444395,-1.7924335488426646
-1.1597689845417103,-0.9173218437094514,-1.70710177954097,-1.1660813828950607,-1.1654241311927178,-1.9662308243038769
-1.1601212984505873,-1.6898651450058946,-1.9359590843557826,-1.1660813397858916,-1.535794479905142,-1.7750408321859799
-1.1653754351981833,-1.339599856269043,-1.7301577129527048,-1.166081442458332,-1.5065421934881702,-1.781564618047834
-1.1692993548795947,-1.1722089022494986,-1.9362803004844011,-1.1660814424583317,-1.7150133842173463,-1.7112027553678189
-1.1669399674126746,-0.7980214488958978,-2.5543625501139218,-1.1660814424583321,-0.8379695993873604,-2.774130439915661
-1.1537564948513093,-1.1598638976169864,-1.8469788286316153,-1.1660813765646423,-1.232135235168231,-1.9224622193212855
-1.1668245598538476,-1.1566006451188133,-2.894316866164028,-1.166081417963989,-0.8956585291101766,-2.6217773607983585
-1.162505229688302,-1.5663908268489357,-2.2553504222067087,-1.166081375642664,-1.241948397451538,-1.9164883368920451
-1.1561793639815117,-1.164001168420779,-2.846717204603282,-1.1660814176365297,-0.9019208320534569,-2.5729888872389446
-1.1540240640144932,-1.9640955166472867,-2.589211265425384,-1.1660813709343527,-1.2922224034661505,-1.8874771474589473
-1.1571957385298521,-1.4960433458325646,-2.0571839704032535,-1.1660813683956222,-1.3194687868141208,-1.8727616540914072
-1.1576298586527982,-1.3101339827626148,-1.5435791785058817,-1.1660813400690766,-1.5327660281374786,-1.7761059648393198
-1.1598714311988678,-1.9416578581532988,-1.9225059725876656,-1.1660813537635524,-1.737170969208414,-1.7089307817784105
-1.1649643591815322,-1.2277650015951682,-1.8150862700910775,-1.1660813707071789,-1.2953996262806533,-1.8857268710110646
-1.1681000514163624,-0.6527168343182875,-1.9479475865053102,-1.1660814424583321,-1.0203297426412345,-2.0151070840713885
-1.1699805176464786,-0.9838981748564859,-2.7171527758215737,-1.1660814424583321,-0.8381029540946157,-2.7740931038904293
-1.162113662973114,-1.7181482051616168,-2.4087480351753046,-1.1660813753501647,-1.2450495625657108,-1.9146228002860333
-1.157253937141157,-1.6570648591877015,-1.557343213954601,-1.1660813405559,-1.7846954647856468,-1.6906462794500834
-1.158936259034689,-1.1320036693246431,-2.192674347948663,-1.1660814096757197,-1.0461021172972957,-2.1029549557353744
-1.1525524137299212,-0.9303842690274678,-2.3124927420405905,-1.1660814151820535,-0.950557217354085,-2.333562276753798
-1.157755382313119,-1.6987358775469596,-2.3732425908812953,-1.166081374477981,-1.2543404504957874,-1.9090962687196849
-1.1672253336957399,-1.6186871303895662,-2.3685710613395767,-1.1660813789635167,-1.2068169087128933,-1.9383955080478414
-1.15575231204392,-1.6867266317003273,-1.8742872852212253,-1.1660813360746012,-1.5778670939173665,-1.760589541761377
-1.151504222236288,-1.9298671808983578,-2.2814157991860218,-1.166081354512003,-1.470297665029977,-1.8014209841940345
